line_id,step,kind,speaker,text_with_breaks,seed,notes
vo_bt_d4_prompt,bt_d4,prompt,CAIRN,Weapons free. Destroy all four boards.,52077,spoken step arrival
vo_bt_e1_prompt,bt_e1,prompt,CAIRN,Fire until heat reaches the amber line.,52078,spoken step arrival
vo_bt_e2_prompt,bt_e2,prompt,CAIRN,Heat is high. Purge coolant.,52079,spoken step arrival
vo_bt_e3_prompt,bt_e3,prompt,CAIRN,Keep firing. Let it shut down.,52080,spoken step arrival
vo_bt_e4_prompt,bt_e4,prompt,CAIRN,Hold override. Bring the reactor back.,52081,spoken step arrival
vo_bt_f1_prompt,bt_f1,prompt,CAIRN,Build speed. Boost over the barrier.,52082,spoken step arrival
vo_bt_g1_prompt,bt_g1,prompt,CAIRN,Command wheel. Order your wing to attack.,52083,spoken step arrival
vo_bt_g2_prompt,bt_g2,prompt,CAIRN,Recall your wing to the pad.,52084,spoken step arrival
vo_bt_h1_prompt,bt_h1,prompt,CAIRN,Checkride. Three drones inbound. Weapons free.,52085,spoken step arrival
vo_bt_h2_prompt,bt_h2,prompt,CAIRN,Checkride passed. Confirm to return.,52086,spoken step arrival
vo_bt_a4a_ok,bt_a4a,ok,CAIRN,"Good. <break time=""0.25s"" /> It always knows the way.",52087,PATHLIGHT teach step
vo_bt_a4a_h1,bt_a4a,h1,CAIRN,"Confirm, then follow the arrow.",52088,
vo_bt_a4b_ok,bt_a4b,ok,CAIRN,"Waypoint reached. <break time=""0.25s"" /> That's the whole trick.",52089,PATHLIGHT first arrival
vo_bt_a4b_h1,bt_a4b,h1,CAIRN,"Turn until the arrow points up.",52090,
vo_bt_a4a_prompt,bt_a4a,prompt,CAIRN,The arrow points your way. Confirm.,52091,spoken step arrival
vo_bt_a4b_prompt,bt_a4b,prompt,CAIRN,Face the arrow. Walk to it.,52092,spoken step arrival
